,job_title,company,job_description
420,Computer Technician,Advantech,"['Provides technical services including installation, integration, assembly & testing services on PC hardware, workstations & system etc.'
 'Schedules computer integration jobs to ensure timely completion of all systems integration for customers.'
 'Performs hardware & software technical testing & troubleshooting for customers'
 'Provides IT support to users with issues relating to software or hardware \xa0peripherals and basic networking setup \xa0 \xa0 \xa0 \xa0 \xa0'
 'Candidate must possess at least a Higher NiTEC, Diploma in Engineering (Computer/Telecommunication), Engineering (Electrical/Electronic), Computer Science/Information Technology or equivalent.'
 'At least 1 year(s) of working experience specializing in IT/Computer - hardware, and software or equivalent.'
 'Good PC knowledge and are keen to learn new technology skills.'
 'Hardworking, self-motivated, independent and a good team player.']"
421,Systems Development Engineer (Image Processing / Sensors),Dell Asia Pte Ltd,"['Develops scientific approaches to characterize the performance of image sensors, collect and analyze data, make recommendations based on optimized design for performance and cost to value'
 'Analyzes IQ (Image Quality), design and implement solutions to optimize image quality in different lightings and user environment'
 'Tunes the IQ in color image pipeline (sensor correction, scaling, Gamma correction, Noise Reduction, Sharpness, Brightness, Contrast, Saturation and 3A (Auto Exposure, Auto White Balance, Auto Focus)'
 'Establishes methodology or best practices for IQ tuning, corelating the quantitative measurement against the subjective user environment'
 'Develops algorithms for improving IQ in areas of color accuracy, 3A, texture, noise reduction and face detection enhancements'
 'Provides subject matter expert advice on sensors, lenses, ISPs and take lead to influence the shaping of future webcam products technologies/products'
 'Evaluates and provides expert feedback on third party webcam image qualities and AI features performances'
 'Degree in Electronic Engineering, Computer Science, Computer Vision, or related fields'
 'Minimum 10 years working experience in the digital image and image processing industries'
 'Deep knowledge in CMOS sensors, technology roadmaps, and applications'
 'Knowledge in ISPs, lenses, and adjacent sensors such as TOF and depth sensors'
 'Experience in modern Machine Learning algorithms, and programming using MATLAB and Python'
 'Experience in image quality tools and equipment such as Imatest, light booths, test charts and spectro-radiometers'
 'Experience in color image pipeline tuning to achieve optimal quantitative and subjective image quality in real-life user environment'
 'Familiar with image quality benchmarking by labs such as DXOmark or similar, analyzes the scores and propose recommendations for improvement\xa0\xa0'
 'Understand the requirements to meet Unified Communications certifications such as MS Teams and Zoom'
 'Excellent analytical problem-solving skills, communication, and interaction skills to present and articulate subjective image quality ideas to all levels and including non-experts during problem solving sessions']"
422,Clinical Executive (Office of Informatics) - CONTRACT,RECRUIT EXPRESS PTE LTD,"['Min. Degree in any field.\xa0'
 'At least 3-5 years of relevant working experience, preferably in a healthcare setting, and with clinical or healthcare informatics experience'
 'Able to commence within short notice period']"
423,Information Security Auditor,Setsco Services Pte Ltd,"['Conduct ISO 27001 and ISO 29100 management system on various clients for initial, surveillance, renewal and non-routine audit\xa0'
 ""Review documents and client's application before audit is conducted\xa0""
 'Prepare audit report'
 'Ensure all audits, inclusive of non-compliance issues are closed by clients before submission of audit reports for review'
 'Advise clients on certification requirements and processes\xa0'
 'Conduct training on ISO 27001, ISO 29100 and any relevant qualified fields'
 'Other adhhoc duties as assigned'
 ""Bachelor's degree in related field\xa0""
 'Possess ISO 27001 Lead Auditor or Certified Information System Auditor (CISA) Certificate would be an additional advantage'
 'Good analytical and problem-solving abilities']"
424,"Associate Executive (Education Technology), GME HQ (CRAFD) – Contract",SINGAPORE HEALTH SERVICES PTE LTD,[]
425,IT System Engineer,SPD SCIENTIFIC PTE LTD,"['Day-to-day support to the Group’s IT infrastructure (local and regional), including servers, desktops, IP phones, email, software, printers, backup systems and networking equipment etc'
 'Provide technical support and level 1 and 2 helpdesk service to staff/ end users on PC hardware, software, applications and other IT related requests'
 'Conduct user training on systems, software applications (SharePoint & O365 suite) and IT security'
 'On-boarding of new hires and off-boarding of users'
 'Administer and upkeep IT administrative documentation such as network diagrams, user accounts, internal assets loan and review or amend SOP/processes'
 'Internal IT migration projects (Planning, Testing, Execution)'
 'Provide ad-hoc support as and when required including off-hours support in the event of service outages and preventive maintenance routine whenever applicable.'
 'Any other duties as assigned'
 'Diploma/Degree in Computer Science, Information Technology or related field'
 '3 years of IT administration related experience, with prior experience in managing IT vendors (overseas and local)'
 'SI work experience and skills set is a preferred advantage'
 'Ability to communicate effectively with internal and external stakeholders'
 'PC and network troubleshooting'
 'Administration and management of servers, storage, networking and appliances, virtualization, mobility and remote access services'
 'Veeam Backup, AD & File Server, SQL Server, Anti-Virus, Email Security'
 'Systems/Applications software patching/update management (Preferred)'
 'NAVision Windows version (Preferred)'
 'Knowledge in administrating Microsoft technologies: Windows Server, Active Directory, IIS, Exchange online, SharePoint online, Microsoft 365 licensing and services'
 'Knowledge in network, LAN, WAN, VPN, segregation of network (VLAN) would be an advantage'
 'Knowledge in Mobile Device Management and Disaster Recovery Solutions'
 'Knowledge in Cloud infrastructure and services is a plus'
 'Understanding of security issues and execute the necessary procedures to maintain a secure system environment']"
426,IT Program Manager,AEM Singapore Pte Ltd,"['Accomplishes information technology staff results by communicating job expectations; planning, monitoring, and appraising job results; coaching, counseling, and disciplining employees; initiating, coordinating, and enforcing systems, policies, and procedures.'
 'Maintains staff by recruiting, selecting, orienting, and training employees; maintaining a safe and secure work environment; developing personal growth opportunities.'
 'Maintains organization’s effectiveness and efficiency by defining, delivering, and supporting strategic plans for implementing information technologies.'
 'Directs technological research by studying organization goals, strategies, practices, and user projects.'
 'Completes projects by coordinating resources and timetables with user departments and data center.'
 'Verifies application results by conducting system audits of technologies implemented.'
 'Preserves assets by implementing disaster recovery and back-up procedures and information security and control structures.'
 'Recommends information technology strategies, policies, and procedures by evaluating organization outcomes; identifying problems; evaluating trends; anticipating requirements.'
 'Accomplishes financial objectives by forecasting requirements; preparing an annual budget; scheduling expenditures; analyzing variances; initiating corrective action.'
 'Maintains quality service by establishing and enforcing organization standards.'
 'Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.'
 'Contributes to team effort by accomplishing related results as needed.'
 'Information Technology (IT) Project Manager Skills and Qualifications:'
 'Technical Management, Technical Understanding, Analyzing Information , Informing Others, Staffing, Problem Solving, Data Center Management, Developing Budgets, Coordination, Strategic Planning, Quality Management'
 'Knowledge of various industries and how IT can help them'
 'Liaising between the IT department and the business stakeholders'
 'Acting as an information source and communicator between business users'
 'Understanding strategic business needs and growth plans.'
 'Enhancing the quality of IT tools, and services.'
 'Analyzing the design of technical systems and business models.'
 'Utilizing IT data for business insights.' 'Analyzing business needs.'
 'Sourcing and implementing new business technology.'
 'Finding technological solutions to business requirements.'
 'Producing reports on application development and implementation.'
 'Running A/B tests and analyzing data.'
 'Analyzing data to inform business decisions.'
 'Excellent in problem-solving skills, Analytical mindset.'
 'Exceptional interpersonal skills.'
 'Excellent written and verbal communication skills.'
 'Attention to detail.']"
427,Network Security Engineer,EPS COMPUTER SYSTEMS PTE LTD,"['These are formal policies that detail and document actual mechanisms and controls and should include at least the following: '
 'Administrative: Risk analysis and management, documentation management and controls, information access controls and sanctions for failure to comply. '
 'Personnel Security: Personnel only have access to the sensitive information for which they have appropriate authority and clearance. Physical Safeguards: Assign security responsibilities, control access to media and the controls in place against unauthorized access to workstations and related equipment. '
 'Technical Security: Set the access and authorization controls for everyday operations as well as emergency procedures for data. '
 'Transmission security: Set the standards for access controls, audit trails, event reporting, encryption and integrity controls.'
 'The incumbent should have a Bachelor’s Degree, in Computer Science or Information Technology'
 'At least 5 to 7 years of relevant experience '
 'Possess any security certification: CCISSP, CISA, CISM, CGEIT, CCISO Experience in IT Audit, GRC and penetration testing'
 'Good interpersonal and communication skills']"
428,,,[]
429,,,[]
430,,,[]
431,Multimedia Designer,BS Groups,"['Beauty industry' '5 days work week'
 'Friendly and supportive team environment' 'Near Redhill Mrt station'
 'Conduct research on media techniques and design ideas.'
 'Able to create, edit film video, animation and motion graphics.'
 'Develop multimedia content ideas in collaboration with graphic designers.'
 'Design and produce attractive multimedia content according to website specifications.'
 'Create original artwork for digital image processing.'
 'Perform media edits based on user feedback.'
 'Create animated sequences using computer software.'
 'Have excellent visual communication skills to present ideas and information in a multimedia context combined with excellent IT and programming skills.'
 'Understand the latest trends and the role in a commercial environment.'
 'Maintain website function and social media profiles.'
 'Oversee in-house production and printing of marketing collaterals'
 'Advise internal teams on creative direction and strategies to reach a particular audience with different formats, production and timescales.'
 'Ensure design consistency across all marketing collaterals are according to brand guidelines and error-free.'
 'Manage and maintain graphic files and brand assets, including photos and videos.'
 'Possess Diploma/Degree in Visual Communication/Graphic Design/Digital Media or equivalent qualification'
 'Minimum 1 years’ relevant experience in in multimedia and advertising industry will be given prime consideration, entry level candidates with relevant internship experience will be considered.'
 'High proficient in MAC operating system and Adobe Creative Suite (Photoshop, Illustrator, InDesign, After effects, Dreamweaver, Premiere Pro etc)'
 'Knowledge of HTML, CSS, DHTML, Javascript, PHP & MySQL is an added advantage'
 'Ability to create digital content through photography & short videos'
 'Proficient in video filming and production from storyboarding, applying of effects to editing'
 'Ability to multi-task and work under tight deadlines'
 'Those with short notice/immediate starter will be advantageous']"
432,Research Fellow (Topics of Quantum Information and Thermodynamics) (R00004688),Nanyang Technological University,"['Utilize techniques and tools in quantum information theory in the study of quantum thermodynamics'
 'Conduct research in understanding the fundamental limits of controlling out-of-equilibrium quantum systems'
 'PhD in the area of quantum information and quantum thermodynamics'
 'Consistent research track record in terms of publication for the above areas of study']"
433,UC System Analyst,SAKSOFT PTE LIMITED,[]
434,Senior Information Security Specialist,Singapore Telecommunications Ltd,"['Perform Application Security (AppSec) assessment using a combination of threat modelling, vulnerability research, code scanning, application security testing with recommendation of proper remediation/mitigation actions'
 'Promote the adaption of Application Security (AppSec) capabilities within the organization.'
 'Ability to read and understand application source code in order to provide specific recommendations for the identified vulnerabilities to application teams.'
 'Collaborate with application teams to ensure that any identified security vulnerabilities are remediated in a timely manner.'
 'Maintain up-to-date knowledge of the IT security industry, including awareness of new or revised security solutions, security standards, trends / best practices, offensive techniques, and tools.'
 'Bachelor Degree in Computer Science, Computer Engineering or other relevant field of study'
 'Professional security management certifications such as a Certified Secure Software Lifecycle Professional (CSSLP), Certified \xa0\xa0\xa0Information Systems Security professional (CISSP), or other similar credentials, is required.'
 '\xa0 \xa0 Familiar with common programming, scripting, and markup languages, including Java, C#, ASP .NET, PL/SQL,\xa0 \xa0 \xa0 T/SQL\xa0\xa0PHP, C++, Xcode, Swift or JavaScript']"
435,Information Technology Business Solution Manager,DM ABUNDANCE FOOD PTE. LTD.,[]
436,Research Fellow (Power systems & Power Electronics),NUS,[]
437,Marine Automation Engineer,MANPOWER ACCESS PTE LTD,[]
438,Manager IT,Federal Express (S) Pte Ltd,[]
439,Project Coordinator,EZSVS Singapore Pte. Ltd.,"['Prepare project-related documents.（ Such as name list， access form, project report.）'
 'Prepare and purchase tools and accessories. (Such as label printing, online purchasing.)'
 'Responsible for on-site coordination of IT related work, including data centre construction / integrated wiring / network / equipment / system, etc.'
 'Responsible for follow-up and promotion of related IT work, including systems/ equipment/ network, etc.'
 'As a project coordinator, coordinate the cooperation between service providers, IT and business during the project implementation phase.'
 'As a communication channel for IT services, handle complaints, suggestions and service requests from customers and internal departments.'
 'Assist superior supervisors to manage the services of third-party suppliers.'
 'Assist superior supervisor to review, optimize and release IT operation and maintenance processes.'
 'Complete other tasks assigned by superiors.'
 'Diploma or above, major in computer science or information technology-related.'
 'At least 1 year of IT project experience.'
 'Familiar with IT hardware products and comprehensive wiring specifications.'
 'Familiar with the knowledge of IT data center services.'
 'Able to speak Mandarin in order to liaise with Mandarin speaking associates and customers']"
440,"Technician , Systems",SBS Transit Limited,"['Participate in the maintenance of the COMMS (Communication, Access Management and Visual Passenger Information Systems) so as to ensure that the safety, reliability and availability of the systems meet the standards agreed with the Operations'
 'Perform preventive and corrective maintenance in accordance to the work instructions and procedures'
 'Liaise with contractors for the maintenance works to be done at stations, trains and tunnels/trackside'
 'Ensure fast response to clear system faults and carry out the repair and rectification'
 'Ensure Safety plans are implemented and all safety hazards are eliminated'
 'Ensure preventive maintenance is carried out according to schedule and faults rectified immediately after inspection'
 'Ensure the fault report is updated in the data management system and close the work order'
 'Perform any Engineering work or tasks assigned by Assistant Engineer or Senior Assistant Engineer'
 'Ensure that any unsafe practices are reported accordingly'
 'Higher NITEC / NITEC in Electrical, Electronics or Mechatronics Engineering'
 'Preferably at least 3 years of working experience in maintenance of Communications Engineering'
 'Good interpersonal skill'
 'Possess good writing skill and network knowledge'
 'Matured personality and a good team player'
 'Willing to perform 3 rotating shifts' 'Ability to identify colours']"
441,,,[]
442,,,[]
443,,,[]
444,Information security engineer,AVENSYS CONSULTING PTE. LTD.,"['Monitor, investigate and document security incidents detected. '
 'Perform security incident response and root cause analysis. This includes off-office hours 24x7 support standby on rotation basis '
 'Work closely with managed security provider, vendors, information system owners or representatives and infrastructure technical staffs on security incidents to perform incident handling and provide remedial actions '
 'Ensure all security solutions are working and comply with policy and procedures. Respond and remediate timely on any service outages with customer satisfaction as priority '
 'Provide support on issues relating to security solutions (e.g. endpoint security solutions, data loss prevention solution, SIEM solution, web proxy, intrusion detection system and advanced threat detection systems) '
 'Perform monthly governance review on incident and sensitive administrative activities '
 'Prepare and deliver monthly and ad-hoc security incident reports '
 'Review and update security incident SOP. '
 ""Bachelor's Degree in IT / Computer Science / Computing or related ""
 'Experience in security operations and security operations centre '
 'Knowledge of networking and windows operating system '
 'Certified Information System Auditor (CISA), Certified Information System Security Professional (CISSP) or ITIL certification will be an added advantage ']"
445,Cyber Security Lead,BUSINESS EDGE PERSONNEL SERVICES PTE LTD,[]
446,"Manager, Marketing",Kings Indian Banana Leaf Pte Ltd,"[""Promoting the company's existing brands and introducing new products to the market.""
 'Analysing budgets, preparing annual budget plans, scheduling expenditures, and ensuring that the sales team meets their quotas and goals.'
 ""Researching and developing marketing opportunities and plans, understanding consumer requirements, identifying market trends, and suggesting system improvements to achieve the company's marketing goals.""
 'Gathering, investigating, and summarizing market data and trends to draft reports.'
 'Implementing new sales plans and advertising.'
 'Provides information by collecting, analysing, and summarizing data and trends.'
 'Ensuring that the store is clean and well-maintained at all times.'
 'Building and maintaining good working relationships with customers.'
 'Identifying opportunities and strategies to increase sales.'
 'Accomplishes marketing and organization mission by completing related results as needed.'
 'Ensuring that the store is adequately stocked with company products.'
 'Recruiting, training, scheduling, coaching, and managing marketing and sales teams to meet sales and marketing human resource objectives.'
 'Maintaining relationships with important clients by making regular visits, understanding their needs, and anticipating new marketing opportunities.'
 'Staying current in the industry by attending educational opportunities, conferences, and workshops, reading publications, and maintaining personal and professional networks.'
 'Develop and coordinate promotional as well as collateral materials like brochures, videos, binders and trade show graphics etc.'
 'Conduct account maintenance, inquiry calls, outside sales calls, qualification calls']"
447,System & Network Engineer,CONNECTe International Pte Ltd,"['Performs investigation, diagnostics testing, repair and troubleshooting'
 'Design new solutions based on standards'
 'Implementation of new network environments'
 'Deliver support in several projects'
 'Document deployed solutions and proper handover to the operational team'
 'Maintain and upgrade network components'
 'Deploy firewall rules if required'
 'Assist the operational team by delivering 2nd/3rd line support'
 'Work proactively to increase the service quality'
 'Coordination with peers in other regions (EMEA, AMER, and APAC)'
 'Degree or Diploma in Information Technology related studies'
 'Minimum 3 years of relevant working experience'
 'Possess certification of CCNA / CCNP is an advantage'
 'Great team player, highly adaptable and with a good sense of urgency'
 'Strong technical, analytical and organizational skills'
 'Excellent written & spoken communication and interpersonal skills'
 'Willingness to travel overseas for work'
 'Hyperconverged server solutions' 'Nutanix AHV & Vmware ESXi'
 'Microsoft Windows Server Operating System'
 'Microsoft Azure public cloud' 'Microsoft Exchange on premise & O365'
 'Microsoft Active Directory / Azure AD' 'Microsoft SQL'
 'Citrix XenApp & Citrix netscaler' 'Rubrik backup' 'Infoblox DDI'
 'Solarwind System' 'Load balancing (F5)'
 'LAN and WLAN, SD-WAN infrastructure'
 'Internal routing protocols (mainly OSPF)' 'Wireless/4G/5G networking'
 'MPLS' 'Firewalls' 'Load balancing (F5)' 'Voice systems'
 'Solarwind System' 'Basic knowledge - Microsoft Azure public cloud'
 'Basic knowledge - Microsoft Exchange on premise & O365']"
448,Security Analyst,Ensign InfoSecurity,"['Serve as the principal advisor to Customer’s business systems involving the security of the operating unit’s IT Systems.'
 'Perform security related statistics assessment, recommendation and reporting'
 'Develop and maintain baseline security standards (BSS) for servers, databases, network devices and monitoring tools'
 'Plan, schedule and conduct periodic BSS compliance assessment against servers, databases, network equipment and monitoring tools'
 'Fronting of Security Audit'
 'Lead in investigations, identification and managing risks, into Medium to Low Information Security incidents and threat.'
 'Escalate Critical/High Security incident to Incident Manager and support incident manager in the investigation.'
 'Oversee resolution of security related incident'
 'Monitor, analyze, recommend and follow through the appropriate action for security vulnerabilities and patches'
 'Project Advisory on IT Security and Compliance'
 'Administration and Control of Privileged Accounts Access Authentication Systems'
 'Participate in Cyber Security activation and Disaster Recovery exercise'
 'Perform verification, validation and risk assessment of report generated from Vulnerability Assessment and/or Web Application Penetration Test'
 'Expected to be attached to customer’s site as and when required.'
 'Bachelor Degree or Diploma in Electronics, Computer Engineering or related disciplines.'
 'At least 3 years of relevant experiences in a cyber security setting.'
 'Possesses relevant experiences with any of the following:'
 'Vulnerability Assessment, IDS/IPS configuration/monitoring, Firewalls, TCP/IP packet analysis, Log analysis, and understanding of exploiting vectors'
 'Familiar with information security requirements/ standards across various industries.'
 'Working knowledge of best practices for incident response, network architecture, current networking technologies, security requirements, features of networks and applications, Cyber Security trends and related security issues.'
 'Relevant certifications such as CISSP, CISA will be advantageous']"
449,Application Consultant (Entry Level),CENTRAL PROVIDENT FUND BOARD,"['Interest in software application development & support where you find joy in fixing issues with beautiful and meticulous codes as well as adhering to the requirements and standards'
 'Academic or working knowledge of a range of technologies and languages such as Java/J2EE, Dot Net, Pega to develop applications'
 'Enjoy examining existing systems, identifying flaws and creating solutions to improve service uptime and time-to-resolve through monitoring and automated remediation'
 'Good understanding of both frontend, backend and content management systems will be preferred'
 'Ability to perform routine/scheduled maintenance of the applications'
 'Position will be on 2-year contract']"
450,Senior Quality Systems Specialist,Medtronic,"['Ensure the compliance of quality system towards applicable medical devices regulations such as but not limited to ISO13485, QSR (FDA), or Japanese Regulations and applicable regulations / standards. The compliance encompasses also the business unit and corporate requirements.'
 'Maintain Quality Metrics dashboard. Gather necessary data for Quality Metrics and transmit those to the Quality Management.'
 'Lead nonconformance handling and CAPA process which involves collecting and analyzing data to appropriately and efficiently identify root cause and ensuring verification of effectiveness plans are comprehensive.'
 'Interprets government regulations as they apply to products, processes, practices and procedures to anticipate and integrate regulations changes into MSO.'
 'Ensure MSO organization is prepared for internal/external audits/ inspections.'
 'Lead the site periodic assessment to evaluate the compliance of manufacturing and quality systems processes. Identify follow up actions and drive continual improvement on the compliance performance for the site.'
 'Participate in compliance audits/inspections as MSO Quality-Compliance expert'
 'Support MSO auditees in providing the necessary documentation for the auditors'
 'Provide support on external regulatory query / information request.'
 'Oversee trends/changes to regulations and build up such knowledge.'
 'Ensure changes to external standards and regulatory requirements are integrated into MSO QMS, to ensure MSO continues to comply to the applicable standard and regulation.'
 'Ensure effective CAPA and NC data analysis, investigation and actions.'
 'Drive execution of CAPA, and NC deliverables through monitoring and reporting status to CAPA Review Board and management at a timely manner.'
 'Support the rollout of any new problem-solving tools (tools, techniques, and/or process enhancements).'
 'Bachelors degree required'
 'Minimum of 4 years of relevant experience, or advanced degree with a minimum of 2 years relevant experience'
 'Experience in Medical Device Industry and Quality Management System is an asset'
 'Have a quality certification or demonstrate equivalent experience in the Medical Device or Pharmaceutical industry.'
 'Strong knowledge of ISO13485, 21 CFR Part 820'
 'Excellent desktop applications, analytical tools, presentations'
 'Strong communication skills to participate in multicultural and multi-departmental teams, and to lead a local technical team.'
 'Excellent communication skills with people from all levels in the organization.'
 'Able to solve technical problems, autonomous and decision making abilities independently']"
451,Manager IT,Federal Express (S) Pte Ltd,[]
452,"Consultant, Business Systems Analysis",NCS,"['Monitor and report on the SLA/KPI of the in-scope systems, grouped under the System Family, to the client '
 'Liaise and work directly with client (stakeholders, Ops Managers and/or Contractors) for purpose of project delivery and maintenance support. '
 'Monitor and update client on operation concern and/or compliance matters and propose resolution.'
 'Provide monthly summary and/or progress report on systems health, statuses, risk status and status of CR/SR and System Problem. '
 'Conduct and/or participate in management update meetings - CCC, Operations, Service Review, Audit and Management Meeting. '
 'Review reports from Operations & Support (O&S) \xa0project teams within the System Family '
 'Provide support to O&S Project teams during Audit, DR/BCP, Backup & Recovery exercise. '
 'Propose continuous improvement initiatives with recommendations to strengthen IT governance & compliance, increase efficiency on work quality and processes. '
 'Prepare Management plan and submit compilation to the Client annually'
 'Periodically review IT asset inventory (hardware, software, network equipment, network attached equipment and end-points) records maintained and updated by Client appointed Asset Officer. '
 'Maintain oversight and review the Obsolescence at System Family Level. '
 'Prepare and submit report to Client'
 'Lead investigation and resolution of incident '
 'Conduct root cause analysis and recommend improvement solution for recurrent incident to Client'
 'Schedule security scan for identified systems according to policies, and verify all vulnerability rectifications are satisfactorily performed. '
 'Conduct Security Review on System Access and administration patterns weekly, and report unusual or suspicious activities, if any, to SMO Head Office. '
 'Track, mitigate and deploy patch security vulnerabilities accordingly to the stipulated timeline. Maintain oversight and submit reports on monthly basis. '
 'Escalate and/or seek Client’s acceptance and approval of assessed risks.'
 'Ensure compliance status of the Systems adheres to applicable standards, polices, directives and guidelines. '
 'Declare, review and report compliance status to SMO head office annually. '
 'During audit exercise, work with stakeholders to provide responses and evidences to auditors or compliance related declarations. '
 'Provide a Rectification Plan on any gaps found. '
 'Provide rectification plan for issues arising from audit. '
 'Seek waiver on compliance whenever it is justifiable. '
 'Ensure all applicable standards, policies, directives, guidelines, deliverables and quality assurance records are filed and kept up-to-date for audit and review purposes. '
 'Work with Client on system enhancement required for policy changes and audit requirements.'
 'Degree in Information Systems, Computer Science or equivalent'
 'More than 3 years of IT project management experience and at least 5 years of IT experience'
 'Familiar with Software Development Life Cycle (SDLC)'
 'Experience in IT business analysis techniques'
 'Self-motivated with a positive “can-do” attitude, creative with excellent presentation, communication, negotiation and interpersonal skills including strong persuasive techniques'
 'Able to lead, develop and maintain respectful and trusting relationship'
 'Able to travel as and when required']"
453,Project Coordinator,EZSVS Singapore Pte. Ltd.,"['Prepare project-related documents.（ Such as name list， access form, project report.）'
 'Prepare and purchase tools and accessories. (Such as label printing, online purchasing.)'
 'Responsible for on-site coordination of IT related work, including data centre construction / integrated wiring / network / equipment / system, etc.'
 'Responsible for follow-up and promotion of related IT work, including systems/ equipment/ network, etc.'
 'As a project coordinator, coordinate the cooperation between service providers, IT and business during the project implementation phase.'
 'As a communication channel for IT services, handle complaints, suggestions and service requests from customers and internal departments.'
 'Assist superior supervisors to manage the services of third-party suppliers.'
 'Assist superior supervisor to review, optimize and release IT operation and maintenance processes.'
 'Complete other tasks assigned by superiors.'
 'Diploma or above, major in computer science or information technology-related.'
 'At least 1 year of IT project experience.'
 'Familiar with IT hardware products and comprehensive wiring specifications.'
 'Familiar with the knowledge of IT data center services.'
 'Able to speak Mandarin in order to liaise with Mandarin speaking associates and customers']"
454,Software  Administrator,ComfortDelGro Engineering Pte Ltd,"['Responsible for maintaining and managing the Charger Management System deployed by the company'
 'Administer complex systems and maintain high system uptime and efficiency'
 'Responsible for the maintenance, configuration, and reliable operation of computer systems, software and networks'
 'Install and upgrade software systems and services, manage virtual servers, and integrate automation processes'
 'Troubleshoot hardware and software errors by running diagnostics, documenting problems and resolutions, prioritizing problems, and assessing impact of issues'
 'Work with the Technology Team to address software system issues and implement the appropriate solutions'
 'Provide documentation and technical specifications to Technology Team to plan and implement upgrades of technological systems'
 'Perform or automate regular backup operations and implement appropriate processes for data protection, disaster recovery, and failover procedures'
 'Lead desktop and helpdesk support efforts, making sure all problems related to software systems, services, and related equipment are resolved in a timely manner with limited disruptions'
 'Understand and delegate support tickets to the appropriate party to resolve'
 ""Bachelor's degree in Computer Science, Information Technology, System Administration, or a closely related field""
 '3-5 years of database, network administration, or system administration experience'
 'Strong knowledge of systems and networking software, hardware, and communications protocols'
 'Strong knowledge in WebSocket JSON and Websocks'
 'Strong knowledge of implementing and effectively developing helpdesk and IT operations best practices, including expert knowledge of security, storage, data protection, and disaster recovery protocols']"
455,Network Engineer,CONNECTe International Pte Ltd,"['Performs investigation, diagnostics testing, repair and troubleshooting'
 'Design new solutions based on standards'
 'Implementation of new network environments'
 'Deliver support in several projects'
 'Document deployed solutions and proper handover to the operational team'
 'Maintain and upgrade network components'
 'Deploy firewall rules if required'
 'Assist the operational team by delivering 2nd/3rd line support'
 'Work proactively to increase the service quality'
 'Coordination with peers in other regions (EMEA, AMER, and APAC)'
 'Degree or Diploma in Information Technology related studies'
 'Minimum 3 years of relevant working experience'
 'Possess certification of CCNA / CCNP is an advantage'
 'Great team player, highly adaptable and with a good sense of urgency'
 'Strong technical, analytical and organizational skills'
 'Excellent written & spoken communication and interpersonal skills'
 'Willingness to travel overseas for work'
 'Hyperconverged server solutions' 'Nutanix AHV & Vmware ESXi'
 'Microsoft Windows Server Operating System'
 'Microsoft Azure public cloud' 'Microsoft Exchange on premise & O365'
 'Microsoft Active Directory / Azure AD' 'Microsoft SQL'
 'Citrix XenApp & Citrix netscaler' 'Rubrik backup' 'Infoblox DDI'
 'Solarwind System' 'Load balancing (F5)'
 'LAN and WLAN, SD-WAN infrastructure'
 'Internal routing protocols (mainly OSPF)' 'Wireless/4G/5G networking'
 'MPLS' 'Firewalls' 'Load balancing (F5)' 'Voice systems'
 'Solarwind System' 'Basic knowledge - Microsoft Azure public cloud'
 'Basic knowledge - Microsoft Exchange on premise & O365']"
456,Senior IT Executive,AAM ADVISORY PTE. LTD.,"['Provide all levels of End User support'
 'SME in one or more technologies (Windows, Mac, Mobile, CRM, Microsoft 365, Databases)'
 'Effectively interfaces with executive level staff and\\or their administrative teams to understand the issues they are experiencing, and perform diagnostic procedures to isolate and resolve the issues.'
 'Participates in service improvement meetings and works closely other support groups on improving services and reducing incidents.'
 'Escalate or work in tangent with appropriate support specialists or support groups on unresolved issues.'
 'Escalate hardware repairs to third party providers as needed.'
 'Maintains call records/logs and resolution detail utilising case management solution, Remedy.'
 'Able to effectively communicate both verbally and in writing with management to express ideas in order to make informed decisions.'
 'Installation of workstation, telephony, video and mobile hardware/software as required.'
 'Maintain 100% accuracy/control in the asset database of deployed assets, recording/updating as needed.'
 'Communicate and provide knowledge transfer to other agents/technicians on issues/problems and resolution.'
 'Work with other support groups such as network operations, in assisting in the resolution of incidents or maintenance activities.'
 'Interprets business issues and recommends best practices'
 'Responsible for activities of functional area without direct reports, but may be called on to direct the team\\project as needed'
 'Solves complex problems taking a broad perspective to identify innovative solutions'
 'Ability to support, and explain technical concepts to users at various levels of technical proficiency.'
 'Effectively manages difficult or volatile situations.'
 'Effective problem solving.'
 'Ability to effectively perform issue isolation and resolution in order to minimise downtime.'
 'Ability to schedule and prioritise.'
 'Able to read and understand technical manuals, procedures, and guides.'
 'Excellent interpersonal skills.'
 'Ability to assess, analyse and research technical situations and provide viable alternatives.'
 'Ability to learn new technologies and procedures quickly.'
 'Ability to communicate effectively with wide variety of users, and technical teams.'
 'Works independently with guidance in only the most complex situations'
 'Possess in-depth knowledge of current technologies required to support end user systems'
 'Diploma or Degree in Computer Science / Computer Engineering / Information Technology / Information Systems or equivalent'
 'Min 2 years’ experience in a similar role']"
